Category,Name,File,Vol,Mass,URL,Choline,Cholesterol,Phosphorus,Calcium,Vitamin C,Vitamin B12,Sodium,Potassium,Magnesium,Fiber,Iron
meat,Lamb,lamb,4 oz,113,https://www.nutritionvalue.org/Lamb%2C_raw%2C_choice%2C_trimmed_to_1%252F4%22_fat%2C_separable_lean_only%2C_shank_half%2C_leg_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Pepperoni,pepperoni,1 oz,28,https://www.nutritionvalue.org/Pepperoni%2C_sliced%2C_beef_and_pork_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Pork Liver,pork-liver,4 oz,113,https://www.nutritionvalue.org/Pork%2C_raw%2C_liver%2C_variety_meats_and_by-products%2C_fresh_nutritional_value.html?size=100%20g,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Pork Tenderloin,pork-tenderloin,4 oz,113,https://www.nutritionvalue.org/Pork%2C_raw%2C_separable_lean_only%2C_tenderloin%2C_loin%2C_fresh_nutritional_value.html?size=100%20g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
meat,Salami,salami,1 oz,28,https://www.nutritionvalue.org/Salami%2C_pork%2C_Italian_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Sausage,sausage,4 oz,113,https://www.nutritionvalue.org/Sausage%2C_raw%2C_mild%2C_pork%2C_Italian_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Spam,spam,2 oz,56,https://www.nutritionvalue.org/Luncheon_meat%2C_canned%2C_pork_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Steak,steak,4 oz,113,https://www.nutritionvalue.org/Beef%2C_raw%2C_choice%2C_trimmed_to_1%252F8%22_fat%2C_separable_lean_only%2C_steak%2C_top_sirloin_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Turkey Breast,turkey-breast,4 oz,113,https://www.nutritionvalue.org/Turkey%2C_raw%2C_meat_only%2C_breast%2C_whole_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Veal,veal,4 oz,113,https://www.nutritionvalue.org/Veal%2C_raw%2C_separable_lean_only%2C_loin_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Venison,venison,4 oz,113,https://www.nutritionvalue.org/Game_meat%2C_raw%2C_deer_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
fish,Anchovies<br>(Canned),anchovy,1.6 oz,45,https://www.nutritionvalue.org/Anchovy%2C_canned_26101180_nutritional_value.html?size=100+g,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
fish,Clams<br>(Canned),clam,3 oz,85,https://www.nutritionvalue.org/Clams%2C_canned_26303180_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
fish,Cod,cod,3 oz,85,https://www.nutritionvalue.org/Fish%2C_raw%2C_Atlantic%2C_cod_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
fish,Crab<br>(Canned),crab,3 oz,85,https://www.nutritionvalue.org/Crab%2C_canned_26305180_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
fish,Cuttlefish,cuttlefish,3 oz,85,https://www.nutritionvalue.org/Mollusks%2C_raw%2C_mixed_species%2C_cuttlefish_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
fish,Haddock,haddock,3 oz,85,https://www.nutritionvalue.org/Fish%2C_raw%2C_haddock_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
fish,Halibut,halibut,3 oz,85,https://www.nutritionvalue.org/Halibut%2C_raw_26118000_nutritional_value.html?size=100%20g,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
fish,Herring,herring,3 oz,85,https://www.nutritionvalue.org/Fish%2C_raw%2C_Atlantic%2C_herring_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
fish,Lobster,lobster,3 oz,85,https://www.nutritionvalue.org/Crustaceans%2C_raw%2C_northern%2C_lobster_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
fish,Mackerel<br>(Canned),mackerel,3 oz,85,https://www.nutritionvalue.org/Fish%2C_drained_solids%2C_canned%2C_jack%2C_mackerel_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
fish,Mahi<br>Mahi,mahi-mahi,3 oz,85,https://www.nutritionvalue.org/Fish%2C_raw%2C_mahimahi_nutritional_value.html?size=100%20g,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
fish,Mussels,mussel,3 oz,85,https://www.nutritionvalue.org/Mussels%2C_raw_26313100_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
fish,Octopus,octopus,3 oz,85,https://www.nutritionvalue.org/Mollusks%2C_raw%2C_common%2C_octopus_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
fish,Oysters,oyster,3 oz,85,https://www.nutritionvalue.org/Oysters%2C_raw_26315100_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
fish,Salmon,salmon,3 oz,85,https://www.nutritionvalue.org/Fish%2C_raw%2C_wild%2C_Atlantic%2C_salmon_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
fish,Sardines<br>(Canned),sardine,3 oz,85,https://www.nutritionvalue.org/Sardines%2C_packed_in_water%2C_boneless%2C_skinless_26139190_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
fish,Scallops,scallop,3 oz,85,https://www.nutritionvalue.org/Mollusks%2C_raw%2C_mixed_species%2C_scallop_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
fish,Shrimp,shrimp,3 oz,85,https://www.nutritionvalue.org/Crustaceans%2C_raw_%28may_contain_additives_to_retain_moisture%29%2C_mixed_species%2C_shrimp_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
fish,Squid,squid,3 oz,85,https://www.nutritionvalue.org/Squid%2C_raw_26213100_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
fish,Tilapia,tilapia,3 oz,85,https://www.nutritionvalue.org/Fish%2C_raw%2C_tilapia_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
fish,Trout,trout,3 oz,85,https://www.nutritionvalue.org/Fish%2C_raw%2C_wild%2C_rainbow%2C_trout_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
fish,Tuna<br>(Canned),tuna,4 oz,113,https://www.nutritionvalue.org/Fish%2C_drained_solids%2C_canned_in_water%2C_light%2C_tuna_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
beans,Baked Beans,baked-beans,1/2 cup,130,https://www.nutritionvalue.org/Baked_beans_41201010_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Black Beans,black-beans,1/4 cup,50,https://www.nutritionvalue.org/Beans%2C_raw%2C_mature_seeds%2C_black_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
beans,Black Eyed Peas,black-eyed-peas,1/4 cup,50,https://www.nutritionvalue.org/Cowpeas%2C_raw%2C_mature_seeds%2C_common_%28blackeyes%2C_crowder%2C_southern%29_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Brown Lentils,brown-lentils,1/4 cup,50,https://www.nutritionvalue.org/Lentils%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Cannellini Beans,cannellini-beans,1/4 cup,50,https://www.nutritionvalue.org/Beans%2C_raw%2C_mature_seeds%2C_all_types%2C_kidney_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Chickpeas,chickpeas,1/4 cup,50,https://www.nutritionvalue.org/Chickpeas_%28garbanzo_beans%2C_bengal_gram%29%2C_raw%2C_mature_seeds_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
beans,Edamame<br>(Frozen),edamame,3/4 cup,85,https://www.nutritionvalue.org/Edamame%2C_unprepared%2C_frozen_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
beans,Fava Beans,fava-beans,1/4 cup,50,https://www.nutritionvalue.org/Broadbeans_%28fava_beans%29%2C_raw%2C_mature_seeds_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Great Northern Beans,great-northern-beans,1/4 cup,50,https://www.nutritionvalue.org/Beans%2C_raw%2C_mature_seeds%2C_great_northern_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Green Lentils,green-lentils,1/4 cup,50,https://www.nutritionvalue.org/Lentils%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
beans,Jelly Beans,jelly-beans,1 oz,28,https://www.nutritionvalue.org/Candies%2C_jellybeans_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Kidney Beans,kidney-beans,1/4 cup,50,https://www.nutritionvalue.org/Beans%2C_raw%2C_mature_seeds%2C_red%2C_kidney_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
beans,Lima Beans,lima-beans,1/4 cup,50,https://www.nutritionvalue.org/Lima_beans%2C_raw%2C_mature_seeds%2C_large_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
beans,Lupini Beans,lupini-beans,1/4 cup,50,https://www.nutritionvalue.org/Lupins%2C_raw%2C_mature_seeds_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Navy Beans,navy-beans,1/4 cup,50,https://www.nutritionvalue.org/Beans%2C_raw%2C_mature_seeds%2C_navy_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
beans,Pink Beans,pink-beans,1/4 cup,50,https://www.nutritionvalue.org/Beans%2C_raw%2C_mature_seeds%2C_pink_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Pinto Beans,pinto-beans,1/4 cup,50,https://www.nutritionvalue.org/Beans%2C_raw%2C_mature_seeds%2C_pinto_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
beans,Red Lentils,red-lentils,1/4 cup,50,https://www.nutritionvalue.org/Lentils%2C_raw%2C_pink_or_red_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
beans,Refried Beans,refried-beans,1/2 cup,130,https://www.nutritionvalue.org/Refried_beans_41205010_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
beans,Soybeans,soybeans,1/4 cup,50,https://www.nutritionvalue.org/Soybeans%2C_raw%2C_mature_seeds_nutritional_value.html?size=100+g,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
beans,Tofu,tofu,3 oz,85,https://www.nutritionvalue.org/Tofu%2C_prepared_with_calcium_sulfate%2C_regular%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
veggies,Acorn Squash,acorn-squash,1 cup,140,https://www.nutritionvalue.org/Squash%2C_raw%2C_acorn%2C_winter_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Artichoke,artichoke,1 cup,150,https://www.nutritionvalue.org/Artichoke%2C_raw_75100750_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
veggies,Arugula,arugula,1 cup,20,https://www.nutritionvalue.org/Arugula%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Asparagus,asparagus,1 cup,134,https://www.nutritionvalue.org/Asparagus%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Beet,beets,1 cup,136,https://www.nutritionvalue.org/Beets%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
veggies,Beet Greens,beet-greens,1 cup,38,https://www.nutritionvalue.org/Beet_greens%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
veggies,Bell Pepper,pepper,1 medium,119,https://www.nutritionvalue.org/Peppers%2C_raw%2C_red%2C_sweet_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Bok Choy,bok-choy,1 cup,70,https://www.nutritionvalue.org/Cabbage%2C_raw%2C_chinese_%28bok_choy%29_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Broccoli,broccoli,1 cup,91,https://www.nutritionvalue.org/Broccoli%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
veggies,Brussel Sprout,brussel-sprout,1 cup,88,https://www.nutritionvalue.org/Brussels_sprouts%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Butternut Squash,butternut-squash,1 cup,140,https://www.nutritionvalue.org/Squash%2C_raw%2C_butternut%2C_winter_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Cabbage,cabbage,1 cup,89,https://www.nutritionvalue.org/Cabbage%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Carrot,carrots,3 oz,85,https://www.nutritionvalue.org/Carrots%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Cauliflower,cauliflower,1 cup,107,https://www.nutritionvalue.org/Cauliflower%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Celery,celery,1 cup,101,https://www.nutritionvalue.org/Celery%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Collard Green,collard-green,1 cup,36,https://www.nutritionvalue.org/Collards%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Cucumber,cucumber,1 cup,104,https://www.nutritionvalue.org/Cucumber%2C_raw%2C_with_peel_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Eggplant,eggplant,1 cup,82,https://www.nutritionvalue.org/Eggplant%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Fennel,fennel,1 cup,87,https://www.nutritionvalue.org/Fennel%2C_raw%2C_bulb_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Garlic,garlic,1 clove,3,https://www.nutritionvalue.org/Garlic%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Ginger,ginger,1/4 cup,24,https://www.nutritionvalue.org/Ginger_root%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Green Bean,green-bean,1 cup,100,https://www.nutritionvalue.org/Beans%2C_raw%2C_green%2C_snap_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Kale,kale,1 cup,21,https://www.nutritionvalue.org/Kale%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
veggies,Kohlrabi,kohlrabi,1 cup,135,https://www.nutritionvalue.org/Kohlrabi%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Lettuce,lettuce,1 cup,47,https://www.nutritionvalue.org/Lettuce%2C_raw%2C_cos_or_romaine_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Mustard Green,mustard-greens,1 cup,56,https://www.nutritionvalue.org/Mustard_greens%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Onion,onion,1 cup,160,https://www.nutritionvalue.org/Onions%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Parsnip,parsnips,1 cup,133,https://www.nutritionvalue.org/Parsnips%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
veggies,Pea,pea,1 cup,145,https://www.nutritionvalue.org/Peas%2C_raw%2C_green_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
veggies,Plantain,plantain,1 cup,148,https://www.nutritionvalue.org/Plantains%2C_raw%2C_yellow_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Potato,potato,1 small,170,https://www.nutritionvalue.org/Potatoes%2C_raw%2C_flesh_and_skin_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
veggies,Pumpkin,pumpkin,1 cup,116,https://www.nutritionvalue.org/Pumpkin%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Radicchio,radicchio,1 cup,40,https://www.nutritionvalue.org/Radicchio%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Radish,radish,1 cup,116,https://www.nutritionvalue.org/Radishes%2C_raw_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Spaghetti Squash,spaghetti-squash,1 cup,101,https://www.nutritionvalue.org/Squash%2C_raw%2C_spaghetti%2C_winter_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
veggies,Spinach<br>(Fresh),spinach-fresh,1 cup,30,https://www.nutritionvalue.org/Spinach%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
veggies,Sweet Potato,sweet-potato,1 small,130,https://www.nutritionvalue.org/Sweet_potato%2C_unprepared%2C_raw_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
veggies,Swiss Chard,swiss-chard,1 cup,36,https://www.nutritionvalue.org/Chard%2C_raw_72104100_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
veggies,Tomato,tomato,1 cup,152,https://www.nutritionvalue.org/Tomatoes%2C_raw%2C_grape_321360_nutritional_value.html?size=100+g,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
